idClass,idStudent,score
169,96,6.11
183,97,7.02
64,97,7.26
15,97,5.2
175,97,6.97
169,97,0.31
183,98,1.74
64,98,2.02
15,98,9.25
175,98,3.74
169,98,6.0
183,99,4.56
64,99,7.92
15,99,2.88
175,99,5.38
169,99,2.17
183,100,2.89
64,100,8.1
15,100,8.79
175,100,9.65
169,100,0.41
183,101,5.95
64,101,6.26
15,101,6.16
175,101,8.03
169,101,4.3
183,102,8.72
64,102,9.44
15,102,8.07
175,102,2.86
169,102,5.89
183,103,5.53
64,103,4.98
15,103,0.72
175,103,8.57
169,103,1.54
183,104,3.66
64,104,4.31
15,104,1.61
175,104,3.09
169,104,3.72
183,105,3.54
64,105,7.45
15,105,6.18
175,105,4.64
169,105,3.97
183,106,2.08
64,106,7.29
15,106,7.26
175,106,2.99
169,106,6.52
183,107,9.93
64,107,1.8
15,107,0.12
175,107,3.91
169,107,2.87
183,108,7.7
64,108,4.75
15,108,7.68
175,108,2.54
169,108,1.06
183,109,9.75
64,109,5.14
15,109,2.6
175,109,9.47
169,109,3.52
183,110,0.49
64,110,9.07
15,110,5.45
175,110,9.35
169,110,4.9
183,111,5.62
64,111,0.53
15,111,2.97
175,111,5.28
169,111,7.71
183,112,4.52
64,112,1.5
15,112,7.07
175,112,2.47
169,112,6.89
183,113,8.58
64,113,7.86
15,113,5.01
175,113,5.88
169,113,4.95
183,114,5.78
64,114,7.26
15,114,3.38
175,114,6.71
169,114,7.99
183,115,6.48
64,115,5.33
15,115,5.63
175,115,0.9
169,115,8.86
183,116,2.68
64,116,8.73
15,116,9.93
175,116,8.32
169,116,0.22
183,117,9.27
64,117,9.06
15,117,8.97
175,117,9.94
169,117,9.3
183,118,9.15
64,118,9.01
15,118,5.27
175,118,7.91
169,118,6.3
183,119,6.2
64,119,2.52
15,119,2.54
175,119,0.66
169,119,1.09
183,120,3.37
64,120,7.27
15,120,5.75
175,120,2.34
169,120,8.43
183,121,9.89
64,121,10.0
15,121,0.95
175,121,1.14
169,121,5.36
183,122,6.91
64,122,0.64
15,122,3.13
175,122,1.75
169,122,6.16
183,123,1.97
64,123,3.7
15,123,2.84
175,123,1.93
169,123,6.01
183,124,0.4
64,124,4.66
15,124,3.85
175,124,7.9
169,124,4.82
183,125,5.7
64,125,6.07
15,125,0.61
175,125,2.76
169,125,6.74
183,126,2.79
64,126,1.18
15,126,5.63
175,126,7.88
169,126,0.19
183,127,8.77
64,127,9.71
15,127,4.48
175,127,9.58
169,127,0.93
183,128,0.17
64,128,5.61
15,128,4.87
175,128,0.72
169,128,5.42
183,129,1.11
64,129,7.56
15,129,9.41
175,129,4.31
169,129,5.27
183,130,0.95
64,130,1.39
15,130,3.02
175,130,9.83
169,130,8.05
183,131,8.43
64,131,2.51
15,131,2.86
175,131,9.29
169,131,0.55
183,132,4.95
64,132,8.44
15,132,5.39
175,132,3.93
169,132,7.29
183,133,9.62
64,133,2.88
15,133,3.65
175,133,3.87
169,133,3.88
183,134,6.38
64,134,0.57
15,134,4.29
175,134,9.09
169,134,2.28
183,135,7.59
64,135,7.52
15,135,1.24
175,135,2.28
169,135,7.14
183,136,5.08
64,136,6.53
15,136,1.6
175,136,9.04
169,136,0.33
183,137,7.73
64,137,4.97
15,137,7.06
175,137,6.12
169,137,4.36
183,138,1.19
64,138,5.95
15,138,5.02
175,138,2.11
169,138,5.71
183,139,1.68
64,139,9.3
15,139,7.09
175,139,4.21
169,139,8.01
183,140,5.84
64,140,5.45
15,140,8.5
175,140,4.03
169,140,8.33
183,141,3.38
64,141,6.51
15,141,6.96
175,141,3.2
169,141,4.74
183,142,0.79
64,142,9.21
15,142,5.26
175,142,9.82
169,142,4.52
183,143,9.2
64,143,1.02
15,143,8.44
175,143,9.56
169,143,1.17
183,144,0.43
64,144,1.98
15,144,9.77
175,144,3.47
169,144,6.76
183,145,7.28
64,145,8.08
15,145,8.69
175,145,0.76
169,145,9.05
183,146,7.1
64,146,2.89
15,146,3.46
175,146,5.55
169,146,1.57
183,147,6.39
64,147,2.61
15,147,8.0
175,147,0.61
169,147,9.11
183,148,7.01
64,148,6.18
15,148,1.96
175,148,5.25
169,148,7.22
183,149,4.37
64,149,7.25
15,149,6.51
175,149,4.5
169,149,7.33
183,150,9.42
64,150,2.88
15,150,8.29
175,150,8.88
169,150,3.97
183,151,7.91
64,151,1.03
15,151,1.73
175,151,0.19
169,151,0.22
183,152,4.21
64,152,1.64
15,152,5.31
175,152,1.34
169,152,7.81
183,153,3.46
64,153,0.18
15,153,6.49
175,153,3.27
169,153,5.71
183,154,6.16
64,154,0.6
15,154,1.85
175,154,5.7
169,154,9.41
183,155,0.84
64,155,9.96
15,155,8.76
175,155,6.17
169,155,1.83
183,156,8.05
64,156,3.76
15,156,4.69
175,156,9.19
169,156,0.76
183,157,9.89
64,157,0.21
15,157,3.94
175,157,6.99
169,157,7.69
183,158,6.95
64,158,4.1
15,158,0.94
175,158,7.9
169,158,9.69
183,159,7.37
64,159,8.52
15,159,8.83
175,159,0.58
169,159,3.7
183,160,2.36
64,160,9.05
15,160,0.83
175,160,3.35
169,160,5.38
183,161,3.46
64,161,9.14
15,161,3.56
175,161,3.45
169,161,7.31
183,162,8.33
64,162,9.13
15,162,2.42
175,162,9.39
169,162,6.96
183,163,4.16
64,163,8.76
15,163,6.53
175,163,1.26
169,163,8.9
183,164,4.97
64,164,6.16
15,164,6.24
175,164,2.26
169,164,0.66
183,165,5.8
64,165,1.25
15,165,7.25
175,165,9.4
169,165,1.36
183,166,5.47
64,166,0.98
15,166,0.22
175,166,3.55
169,166,0.17
183,167,3.51
64,167,3.88
15,167,7.89
175,167,4.71
169,167,2.56
183,168,3.54
64,168,3.41
15,168,8.19
175,168,0.36
169,168,0.79
183,169,8.84
64,169,1.5
15,169,1.62
175,169,3.58
169,169,5.35
183,170,9.89
64,170,7.99
15,170,5.49
175,170,1.45
169,170,3.08
183,171,8.81
64,171,4.31
15,171,1.91
175,171,4.85
169,171,8.01
183,172,2.49
64,172,6.24
15,172,0.47
175,172,4.64
169,172,4.46
183,173,2.71
64,173,6.94
15,173,2.27
175,173,6.4
169,173,9.72
183,174,1.67
64,174,5.78
15,174,3.46
175,174,8.21
169,174,3.98
183,175,1.2
64,175,7.89
15,175,4.81
175,175,8.61
169,175,3.16
183,176,0.11
64,176,9.6
15,176,4.2
175,176,5.71
169,176,5.13
183,177,3.65
64,177,8.01
15,177,3.41
175,177,9.9
169,177,1.81
183,178,3.4
64,178,8.67
15,178,0.61
175,178,3.29
169,178,5.68
183,179,6.27
64,179,4.33
15,179,0.35
175,179,8.58
169,179,7.37
183,180,0.68
64,180,5.73
15,180,7.96
175,180,6.45
169,180,4.88
183,181,7.94
64,181,9.2
15,181,2.68
175,181,8.29
169,181,9.14
183,182,7.58
64,182,2.93
15,182,8.91
175,182,2.61
169,182,1.48
183,183,5.69
64,183,9.05
15,183,6.32
175,183,8.34
169,183,0.6
183,184,6.29
64,184,8.4
15,184,9.49
175,184,6.9
169,184,8.53
183,185,1.07
64,185,3.57
15,185,4.7
175,185,7.05
169,185,7.63
183,186,3.76
64,186,5.19
15,186,6.32
175,186,8.65
169,186,3.03
183,187,2.9
64,187,6.64
15,187,7.19
175,187,0.7
169,187,6.07
183,188,2.29
64,188,5.24
15,188,3.89
175,188,7.68
169,188,6.47
183,189,3.25
64,189,3.36
15,189,1.74
175,189,9.65
169,189,6.63
183,190,3.33
64,190,9.48
15,190,4.36
175,190,8.0
169,190,2.82
183,191,0.99
64,191,9.24
15,191,7.49
175,191,2.13
169,191,3.15
183,192,6.26
64,192,3.01
15,192,3.16
175,192,4.22
169,192,3.93
183,193,2.34
64,193,7.56
15,193,1.15
175,193,9.92
169,193,7.41
183,194,0.89
64,194,6.41
15,194,5.0
175,194,4.36
169,194,6.71
183,195,9.68
64,195,2.22
15,195,1.92
175,195,5.45
169,195,2.28
183,196,4.76
64,196,1.22
15,196,1.7
175,196,1.0
169,196,6.41
183,197,2.05
64,197,1.67
15,197,2.88
175,197,3.38
169,197,4.35
183,198,0.09
64,198,6.71
15,198,2.69
175,198,1.52
169,198,8.81
183,199,7.46
64,199,4.26
15,199,5.18
175,199,4.62
169,199,1.94
183,200,8.56
64,200,7.72
15,200,4.19
175,200,2.45
169,200,2.6
183,201,2.83
64,201,4.72
15,201,0.92
175,201,7.49
169,201,3.91
183,202,8.35
64,202,4.73
15,202,2.77
175,202,5.93
169,202,0.1
183,203,6.88
64,203,0.93
15,203,3.91
175,203,3.77
169,203,2.66
183,204,3.06
64,204,4.38
15,204,2.18
175,204,8.63
169,204,1.99
183,205,0.03
64,205,4.68
15,205,1.62
175,205,8.62
169,205,1.9
183,206,7.54
64,206,4.59
15,206,0.09
175,206,1.15
169,206,6.39
183,207,2.68
64,207,7.63
15,207,0.58
175,207,4.83
169,207,5.58
183,208,8.59
64,208,7.29
15,208,9.43
175,208,9.31
169,208,7.06
183,209,9.61
64,209,9.78
15,209,0.56
175,209,8.91
169,209,2.17
183,210,9.19
64,210,1.9
15,210,7.03
175,210,7.64
169,210,8.09
183,211,9.02
64,211,8.09
15,211,1.16
175,211,6.24
169,211,7.18
183,212,5.11
64,212,6.89
15,212,3.11
175,212,0.94
169,212,0.05
183,213,8.43
64,213,0.42
15,213,4.29
175,213,4.48
169,213,5.64
183,214,1.06
64,214,4.48
15,214,6.87
175,214,0.51
169,214,9.25
183,215,8.69
64,215,8.43
15,215,4.36
175,215,9.93
169,215,2.3
183,216,0.7
64,216,4.83
15,216,9.5
175,216,4.62
169,216,4.26
183,217,2.28
64,217,8.15
15,217,8.38
175,217,6.81
169,217,8.55
183,218,6.04
64,218,1.49
15,218,4.65
175,218,7.9
169,218,5.43
183,219,4.65
64,219,9.21
15,219,9.6
175,219,3.2
169,219,2.31
183,220,9.03
64,220,2.86
15,220,8.87
175,220,5.7
169,220,6.55
183,221,0.45
64,221,4.66
15,221,4.55
175,221,4.43
169,221,6.85
183,222,5.71
64,222,7.1
15,222,3.23
175,222,4.69
169,222,0.17
183,223,1.48
64,223,3.65
15,223,8.62
175,223,7.12
169,223,6.56
183,224,2.68
64,224,0.23
15,224,2.34
175,224,3.62
169,224,0.32
183,225,7.38
64,225,8.68
15,225,0.32
175,225,7.87
169,225,7.42
183,226,2.08
64,226,5.04
15,226,7.55
175,226,6.16
169,226,7.96
183,227,8.84
64,227,9.09
15,227,8.19
175,227,8.47
169,227,8.73
183,228,4.8
64,228,8.67
15,228,9.31
175,228,7.33
169,228,5.25
183,229,0.31
64,229,3.4
15,229,8.44
175,229,0.57
169,229,2.95
183,230,8.57
64,230,3.65
15,230,2.44
175,230,3.46
169,230,0.84
183,231,4.18
64,231,7.24
15,231,2.15
175,231,9.38
169,231,3.1
183,232,4.56
64,232,7.03
15,232,8.76
175,232,7.98
169,232,3.63
183,233,3.11
64,233,4.58
15,233,2.76
175,233,1.07
169,233,3.7
183,234,6.83
64,234,6.4
15,234,5.9
175,234,4.9
169,234,0.2
183,235,1.91
64,235,3.7
15,235,5.27
175,235,6.79
169,235,0.92
183,236,2.06
64,236,2.49
15,236,2.1
175,236,0.18
169,236,1.39
183,237,9.13
64,237,8.45
15,237,1.04
175,237,6.99
169,237,2.26
183,238,10.0
64,238,1.09
15,238,1.31
175,238,4.23
169,238,2.99
183,239,2.7
64,239,7.05
15,239,5.54
175,239,0.74
169,239,9.26
183,240,7.7
64,240,3.9
15,240,0.87
175,240,9.48
169,240,0.91
183,241,1.17
64,241,3.61
15,241,4.71
175,241,2.66
169,241,4.06
183,242,9.17
64,242,6.84
15,242,2.2
175,242,3.18
169,242,4.76
183,243,8.52
64,243,3.09
15,243,9.91
175,243,8.63
169,243,8.04
183,244,2.92
64,244,6.49
15,244,3.83
175,244,0.42
169,244,0.62
183,245,1.67
64,245,3.11
15,245,1.33
175,245,2.3
169,245,9.29
183,246,9.67
64,246,9.05
15,246,5.57
175,246,5.36
169,246,8.68
183,247,6.02
64,247,5.31
15,247,2.32
175,247,7.88
169,247,9.2
183,248,7.73
64,248,6.93
15,248,1.42
175,248,3.46
169,248,2.02
183,249,1.32
64,249,7.18
15,249,1.81
175,249,2.36
169,249,1.4
183,250,8.55
64,250,4.72
15,250,0.83
175,250,2.15
169,250,2.3
183,251,8.8
64,251,3.13
15,251,1.04
175,251,7.21
169,251,4.48
183,252,2.87
64,252,5.03
15,252,6.28
175,252,7.46
169,252,3.06
183,253,8.86
64,253,0.08
15,253,2.84
175,253,7.81
169,253,0.4
183,254,3.77
64,254,8.0
15,254,1.3
175,254,8.32
169,254,4.26
183,255,7.05
64,255,9.97
15,255,0.85
175,255,0.94
169,255,1.86
183,256,6.14
64,256,1.02
15,256,0.03
175,256,6.08
169,256,1.22
183,257,4.31
64,257,8.71
15,257,4.61
175,257,6.99
169,257,4.63
183,258,1.69
64,258,6.12
15,258,3.54
175,258,4.4
169,258,6.34
183,259,0.96
64,259,6.29
15,259,4.01
175,259,5.07
169,259,9.52
183,260,7.91
64,260,4.82
15,260,5.61
175,260,0.16
169,260,4.86
183,261,1.16
64,261,7.53
15,261,3.31
175,261,4.79
169,261,7.05
183,262,7.45
64,262,7.09
15,262,5.64
175,262,3.26
169,262,4.43
183,263,8.7
64,263,1.8
15,263,2.79
175,263,3.77
169,263,8.85
183,264,8.05
64,264,9.69
15,264,0.15
175,264,1.05
169,264,8.02
183,265,4.84
64,265,8.14
15,265,8.31
175,265,8.42
169,265,4.36
183,266,2.49
64,266,6.13
15,266,1.18
175,266,8.32
169,266,6.97
183,267,2.91
64,267,8.76
15,267,2.57
175,267,3.91
169,267,1.53
183,268,5.26
64,268,3.54
15,268,3.79
175,268,5.36
169,268,2.09
183,269,7.87
64,269,5.43
15,269,2.56
175,269,6.66
169,269,5.71
183,270,8.71
64,270,8.4
15,270,0.03
175,270,8.91
169,270,9.76
183,271,3.5
64,271,7.96
15,271,3.35
175,271,4.5
169,271,4.7
183,272,6.99
64,272,2.34
15,272,3.59
175,272,3.07
169,272,6.13
183,273,1.6
64,273,3.5
15,273,4.97
175,273,9.68
169,273,0.81
183,274,5.56
64,274,9.3
15,274,2.52
175,274,2.06
169,274,3.48
183,275,4.31
64,275,0.58
15,275,2.77
175,275,4.05
169,275,4.34
183,276,9.39
64,276,0.27
15,276,9.49
175,276,6.6
169,276,0.95
183,277,3.26
64,277,7.08
15,277,5.67
175,277,2.03
169,277,0.82
183,278,7.18
64,278,1.16
15,278,4.01
175,278,7.91
169,278,8.08
183,279,2.72
64,279,4.04
15,279,5.7
175,279,9.29
169,279,5.69
183,280,2.14
64,280,3.74
15,280,5.83
175,280,4.12
169,280,9.97
183,281,6.04
64,281,8.18
15,281,0.39
175,281,4.54
169,281,1.63
183,282,2.57
64,282,5.77
15,282,5.26
175,282,3.75
169,282,6.97
183,283,2.27
64,283,3.61
15,283,6.3
175,283,5.26
169,283,5.32
183,284,4.85
64,284,9.78
15,284,1.14
175,284,6.11
169,284,0.87
183,285,5.2
64,285,9.41
15,285,8.73
175,285,4.35
169,285,8.0
183,286,8.93
64,286,7.75
15,286,1.48
175,286,3.57
169,286,7.03
183,287,9.14
64,287,0.37
15,287,0.2
175,287,8.69
169,287,4.78
183,288,6.39
64,288,2.08
15,288,5.99
175,288,0.08
169,288,5.15
183,289,1.82
64,289,5.09
15,289,7.3
175,289,8.34
169,289,10.0
183,290,1.45
64,290,2.02
15,290,1.38
175,290,9.39
169,290,8.91
183,291,6.8
64,291,0.26
15,291,3.99
175,291,0.38
169,291,4.69
183,292,8.56
64,292,5.61
15,292,5.97
175,292,6.3
169,292,8.6
183,293,4.75
64,293,4.6
15,293,1.02
175,293,0.61
169,293,5.58
183,294,0.42
64,294,7.52
15,294,0.16
175,294,1.45
169,294,1.43
183,295,4.62
64,295,5.87
15,295,0.92
175,295,3.07
169,295,2.95
183,296,6.07
64,296,4.91
15,296,5.13
175,296,1.88
169,296,1.6
183,297,5.91
64,297,7.84
15,297,4.25
175,297,9.44
169,297,3.07
183,298,4.36
64,298,8.22
15,298,2.24
175,298,7.04
169,298,8.72
183,299,7.59
64,299,0.66
15,299,7.71
175,299,4.3
169,299,6.18
183,300,7.55
64,300,5.07
15,300,3.02
175,300,3.14
169,300,0.08
183,301,4.54
64,301,1.59
15,301,3.74
169,301,3.51
123,301,7.04
183,302,1.95
64,302,2.09
15,302,3.35
169,302,4.9
123,302,2.03
183,303,1.34
64,303,4.03
15,303,1.5
169,303,9.43
123,303,0.89
183,304,4.7
64,304,4.88
15,304,6.65
169,304,8.46
123,304,8.48
183,305,9.87
64,305,5.91
15,305,0.58
169,305,7.63
123,305,3.45
183,306,8.25
64,306,7.49
15,306,6.22
169,306,1.82
123,306,7.84
183,307,9.71
64,307,9.5
15,307,7.17
169,307,4.52
123,307,1.16
183,308,3.8
64,308,0.48
15,308,3.97
169,308,6.59
123,308,1.9
183,309,5.66
64,309,9.75
15,309,9.73
169,309,0.26
123,309,4.37
183,310,4.61
64,310,8.12
15,310,8.04
169,310,8.11
123,310,2.6
183,311,6.42
64,311,8.03
15,311,7.8
169,311,9.69
123,311,1.46
183,312,6.46
64,312,9.01
15,312,4.61
169,312,8.86
123,312,5.71
183,313,1.11
64,313,9.15
15,313,0.29
169,313,9.12
123,313,6.23
183,314,4.03
64,314,1.44
15,314,6.08
169,314,1.31
123,314,3.23
183,315,9.04
64,315,2.31
15,315,9.97
169,315,8.38
123,315,0.75
183,316,9.68
64,316,1.85
15,316,5.4
169,316,2.19
123,316,7.94
183,317,7.76
64,317,8.13
15,317,1.09
169,317,6.7
123,317,0.38
183,318,0.67
64,318,1.67
15,318,7.3
169,318,4.21
123,318,8.55
183,319,6.89
64,319,1.75
15,319,8.48
169,319,0.85
123,319,6.0
183,320,3.15
64,320,2.25
15,320,2.47
169,320,7.94
123,320,0.29
183,321,6.89
64,321,4.51
15,321,6.7
169,321,2.13
123,321,6.53
183,322,5.08
64,322,6.2
15,322,6.73
169,322,0.94
123,322,9.59
183,323,1.45
64,323,7.35
15,323,4.3
169,323,2.54
123,323,5.75
183,324,0.08
64,324,0.05
15,324,3.07
169,324,4.31
123,324,0.43
183,325,2.01
64,325,1.56
15,325,0.37
169,325,3.37
123,325,2.89
183,326,8.45
64,326,3.91
15,326,3.91
169,326,9.85
123,326,2.15
183,327,3.76
64,327,2.11
15,327,6.28
169,327,9.05
123,327,8.12
183,328,7.98
64,328,7.29
15,328,3.15
169,328,6.35
123,328,9.78
183,329,3.54
64,329,0.97
15,329,3.33
169,329,7.64
123,329,2.89
183,330,1.52
64,330,4.29
15,330,3.36
169,330,8.66
123,330,2.22
183,331,6.7
64,331,8.73
15,331,9.46
169,331,8.08
123,331,1.14
183,332,7.84
64,332,4.86
15,332,4.98
169,332,5.12
123,332,8.8
183,333,1.07
64,333,3.95
15,333,6.44
169,333,0.89
123,333,4.16
183,334,3.95
64,334,7.84
15,334,2.19
169,334,3.98
123,334,2.22
183,335,6.38
64,335,8.74
15,335,4.09
169,335,9.89
123,335,1.11
183,336,7.84
64,336,2.82
15,336,8.34
169,336,5.43
123,336,0.1
183,337,6.89
64,337,7.71
15,337,7.47
169,337,4.46
123,337,4.74
183,338,1.44
64,338,2.53
15,338,8.05
169,338,4.28
123,338,5.47
183,339,2.65
64,339,6.55
15,339,9.59
169,339,9.59
123,339,4.68
183,340,2.36
64,340,9.0
15,340,9.67
169,340,3.28
123,340,0.48
183,341,9.01
64,341,1.25
15,341,8.04
169,341,1.5
123,341,1.26
183,342,8.69
64,342,5.65
15,342,7.33
169,342,2.1
123,342,7.73
183,343,6.97
64,343,2.97
15,343,8.77
169,343,7.24
123,343,5.61
183,344,9.22
64,344,5.16
15,344,4.17
169,344,7.36
123,344,9.74
183,345,6.37
64,345,8.48
15,345,5.29
169,345,9.17
123,345,4.99
183,346,7.65
64,346,9.47
15,346,4.0
169,346,5.67
123,346,5.44
183,347,1.95
64,347,9.8
15,347,7.03
169,347,9.43
123,347,2.19
183,348,1.7
64,348,7.53
15,348,7.4
169,348,6.65
123,348,5.63
183,349,3.64
64,349,5.68
15,349,6.77
169,349,5.74
123,349,9.98
183,350,9.91
64,350,8.67
